九窍出血
犬咬血出
中砒石毒
服药过剂,卒呕不已
破伤风病
时行火眼
心闷汗出不识人
口气臭恶
黄鱼毒
伤寒初起
霍乱转筋
火眼赤烂紧闭目
手指肿痛
面上黑子
卒然咽噎
汤火灼疮
阴囊湿痒
百虫咬伤
水泄不化,日夜不止
卒暴咳嗽
身面印文刺破
卒患心痛
汤火伤灼
蜂蚁叮螫
目中翳膜
发背痈疖多年
好魇多梦
湿疥疮
时行腮肿
耳后月蚀
金疮困顿
燕窝生疮
外肾生疮
疔肿
蝎虿螫叮
鼻渊流水
重舌肿木
产后血气攻心痛,恶物不下
耳出汁
一切
灸牙痛法
瘢痕凸起
赤眼肿痛
臀生湿疮
猝淋不通
胞衣不出,痛引腰脊
客忤中恶
产后血运,心闷气绝
转筋入腹
妇人逆产
衄血吐血
妇人白带
脏毒下血
寒热疟疾
咽中结块,不通水食,危困欲死
翻胃吐食
猝自缢死
妇人妒乳
阴冷疼闷,冷气入腹,肿满杀人
一切目疾
虫牙疼痛
轻粉破口
妊娠腰痛如折者
风牙疼痛
腋下狐臭
走马牙疳
诸蛇螫毒
揩牙乌髭
乌须铅梳
金石药毒
解硫黄毒
惊风痫疾,喉闭牙紧
劳复食复欲死者
身热多汗
食梅牙
腋下胡臭
阴股常湿
黄水脓疮
燕口吻疮
疮伤水湿
误吞金银及钱
消渴烦乱
反胃气逆
惊气失音
香口去臭
阴汗湿痒
解砒霜毒
赤白带下
热甚耳聋
惊痫发热
风痹暖手
水肿尿少
疔肿拔根
项边子
一切疔疮
风热汗出
石水腹坚胀满
急惊搐搦
离魂异病
辟瘴正阳
伤寒发汗
辟禳温疫
诸般吐血
妊妇胎动
子死腹中不出
目生障翳
目膜息肉
产后舌出不收
急惊坠涎
妇人断产
虫癣瘙痒
痘后生翳
初生锁肚
抓破面皮
牙齿疼痛
疮不合
正水肿病,大便利者
火焰丹毒
汤火灼伤
黄水湿疮
养正丹
辟禳魇魔
胁下癖及伤饮食
疯狗咬伤
眉毛脱落
风痒如虫
缠喉风痹
风热头痛
耳出臭脓
疮日久
卅年呷嗽
癫痫螈,眼暗嚼舌
肾消尿数
筋骨疼痛因风热者
乳汁不下
口疮咽痛,上膈有热
阴下湿汗
咽喉肿痛,五心烦热
久泄久痢
痢后脱肛
心痛彻背
经水过多
目暴赤肿
齿疏陷物
痤痱瘙痒
天泡湿疮
钟乳酒
吐血损肺
风气脚弱
风牙肿痛
虫牙作痛
妇人血气
白带白淫
虚冷脱肛
染发乌须
痈疽瘀肉
脑上痈疖
石淋破血

眼昏内障
金疮血出
误吞针铁
肠风下血
牙宣有
一切疮疖
冷劳肠泄不止
眼目不明
黑翳覆瞳
肤翳昏暗
斑疮入目不退者
风热目病
一切诸毒
挑生蛊毒,胸口痛者
甲疽肿痛
妇人血气心痛
滚痰丸
通身水肿
中风腹痛
霍乱腹痛
肝虚转筋
胸中痰饮
妊妇逆生
妇人阴痛
气淋脐痛
齿疼出血
喉中生肉
风病耳鸣
疮癣痛痒初生者
手足疣目
疮经年
蚯蚓咬毒,形如大风,眉鬓皆落
蜂虿叮螫
毒蛇伤螫
风热赤眼,虚肿涩痛
牙龈出血有窍
冷热霍乱,分利阴阳
赤目失明,内外障翳
逐月洗眼
眼目障翳
疟疾寒热
初生便闭
大人羸瘦
肠风泻血
甲疽疮脓
天麻丸
面多雀卵色
固真丹
灵芝丸
湿气身痛
眼目昏涩
仙灵脾酒
颂曰
痘毒黑疔
猝热心痛
肝火为痛
酒痔下血
痢痔脱肛
眼目诸病
伤寒劳复
血余怪病
血淋热痛
眼目昏暗
中风不语
睛垂至鼻
太阳头痛
梦遗食减
妇人阴痒
盗汗不止
